収集日,タイトル,URL,メモ,ステータス
2026-07-20,頑張らない・頑張れない親子のプライドを守るために通知表廃止？⇒成績が悪かった時にやることは「私傷つきました！」って騒ぐことじゃなくて、反省して勉強することだよ。,https://posfie.com/@kalofollow/p/6JXrVTE,いち教員 @ichi_kyouin 小学校くらいなら通知表を廃止しても問題はないだろうが、通知表に限らず、 頑張らない・頑張れない親子のプライドを守るために、頑張ってる子がちゃんと評価される機会を失って良いものかね。 成績が悪かった時にやる,未確認
2026-07-27,特別支援学校には「間違いなく『闇』が存在します」現役の公立校教員が実名で明かすリアル　非正規教員で穴埋め、事なかれ主義の管理職…真実は？（47NEWS） - Yahoo!ニュース,https://news.yahoo.co.jp/articles/1f92ff5d6397350601273a932be426bb49eac930,「困っている人の役に立ちたい」。埼玉県の公立教員、渡辺慶さん（４０）は、理想を胸に知的障害のある生徒を社会に送り出す特別支援教育の世界に飛び込んだ。しかし、目の当たりにしたのは、生徒数増加の裏で指導力不足の教員や事なかれ主義の管理職がはびこ,未確認
2026-07-27,消えゆく看護学生、受験者10年で3割減　地域医療の持続に黄信号 - 日本経済新聞,https://www.nikkei.com/article/DGXZQOUA068YC0W6A700C2000000/,看護師を目指す学生が急減している。専門学校と大学の看護学科の受験者数は2025年度に計14.1万人と10年で3割ほど減り、18歳人口の約1割減を上回る速度で受験者が消えている。若者は過密な実習などを敬遠しており、地域医療の提供に黄信号がとも,未確認
2026-08-03,社会福祉法人職員の視点から・亜月ねね『みいちゃんと山田さん』アニメ化に関する騒動について｜黒犬,https://sizu.me/kuroinu2501/posts/nw6hhwr46rso,「最初に自分の職業なり属性なりを断り書きの様に書いてから内容に入る記事」というのが正直嫌いだ。 「私は精神科医で」「私はADHDで」「私は発達障害で」「私は作家で」とか、今回の件でも様々な人が様々な立場で発信しているし、自分もXで呟いたりし,未確認
2026-08-03,運動ってしんどくなるのが嫌なんだよ！どうにかならないの？,https://anond.hatelabo.jp/20260802153058,運動したら、不快感があるのが嫌！！！ ジョギングだと、ハァハァなるし、不快感がたまる！ 筋トレだと、数回腕立てするだけで不快感が出てくる！！ 学校の体育とか部活だと、そういう不快感は仕方ないものだと思ってた でもよく考えたら、この不快感はい,未確認
2026-08-03,武石知華さんの姉が訴える「自由」の意味　同志社教授陣やOBは何も行動しないのか　メディアウオッチ　皆川豪志,https://www.sankei.com/article/20260802-AT55N67PNFG3ZF3VKIBQZPV4D4/,初めて記者会見する武石知華さんの両親＝7月30日午後、東京・霞が関の司法記者クラブ（相川直輝撮影）文部科学省や第三者委員会の指摘を待つだけの学校側の姿勢には我慢の限界だったのだろう。遺族が7月30日に初めて開いた記者会見で「『船長一人の事故,未確認
2026-08-03,「海で遭難したら尿意を我慢しない」防衛大学校の遠泳訓練では海中排尿の方法を教わるが極限状態を生き抜くためのサバイバル術として大事なことらしい,https://togetter.com/li/2727450,神奈川県自衛隊応援団 @k_JSDFouendan 「私たちがバスで移動した距離を泳いでいるんですよね…」 防衛大学校伝統の約8kmの遠泳。泳いだ距離や速さ以上に大切なのは、隊列を乱さないことだそうです。海という過酷な環境下では、隊列の乱れ,未確認
2026-08-03,宇宙際タイヒミュラー空間についての雑感｜下部　博一,https://note.com/complex_manifold/n/ne2d5e726beda,望月先生により、ABC予想が証明されたとアナウンスされて、１０年以上経った。その証明は、６００ページを超える論文であり、しかも望月先生のほぼオリジナルな理論であるので、およそ誰にとっても専門外であり、論文の信憑性に関しては、多くの議論を呼ん,未確認
2026-08-03,マンゴーみたいに切る,https://dailyportalz.jp/kiji/mango-mitaini-kiru,1987年東京出身。会社員。ハンバーグやカレーやチキンライスなどが好物なので、舌が子供すぎやしないかと心配になるときがある。だがコーヒーはブラックでも飲める。動画インタビュー 前の記事：テレビにうつる ＞ライターwiki トロピカルなムード,未確認
2026-08-10,調査報告書を読んで③　「教育内容は対象外」｜辺野古ボート転覆事故遺族メモ,https://note.com/beloved_tomoka/n/n818f1164b772,学校法人同志社の特別調査委員会による調査報告書について、考えたことを書いています。 1回目： https://note.com/beloved_tomoka/n/na6ae86916d89 2回目： https://note.com/bel,未確認
2026-08-10,イギリスの給食から消える揚げ物　子どもの肥満・医療負担減らす - 日本経済新聞,https://www.nikkei.com/article/DGXZQOGR22BO10S6A720C2000000/,イギリスを代表する揚げ物料理「フィッシュ・アンド・チップス」が学校給食から消える。子どもの肥満対策として政府が揚げ物を禁止するためだ。英国の肥満率は先進国の中でも高い。給食改革で若いうちから食習慣を改善し、国民の医療費負担も減らす。タラに衣,未確認
2026-08-10,熊本地震、子どもの居場所がない　避難所すみっこでゲーム、親も限界：朝日新聞,https://www.asahi.com/articles/ASV882G8WV88UTIL004M.html,震度6強を記録した熊本県八代市の市立第二中学校体育館。避難所となった館内では6日、段ボールベッドや床に敷いたマットの上で高齢者らが体を休めていた。外に仮設トイレが置かれ、給水所に人の列もできている。…,未確認
2026-08-10,お茶屋さんのソフトクリームを食べる,https://dailyportalz.jp/kiji/otya-ya-soft-cream,1987年東京出身。会社員。ハンバーグやカレーやチキンライスなどが好物なので、舌が子供すぎやしないかと心配になるときがある。だがコーヒーはブラックでも飲める。動画インタビュー 前の記事：マンゴーみたいに切る ＞ライターwiki,未確認
2026-08-10,新條まゆ先生に漫☆画太郎と集英社から新作絵本であるシーンをパロディに使いたいと連絡があり承諾したら家宝レベルのとんでもないものが届いた,https://togetter.com/li/2730593,新條まゆ@『虹色の龍は女神を抱く』連載中! @shinjomayu 集英社から画太郎先生の献本が届きました！ なぜ私に届いたかといいますと 我々アニメ、マンガ業界で、オマージュに対してピリピリした空気が漂ってしまった残念な昨今、 めちゃくち,未確認
2026-08-17,「今日はおいしくないと思う天ぷらを揚げてみましょう！なんでやねん」日本料理だけを学ぶ辻調！ 日本料理本科のブログ７│辻調理師専門学校ブログ│辻調理師専門学校 - 食のプロを育てる専門学校<,https://www.tsuji.ac.jp/college/chorishi/blog/cat1278/post_601.html,日本料理本科では天ぷらに重きを置き、 個人実習では天ぷらに特化した内容を１回１８０分で１３回も行います！ 理由は、揚げ物の中でも天ぷらは衣の作り方、状態、油の温度など 他の揚げ物に比べて難しい面が多々あるからです。 そのため各自が状態の良い,未確認
2026-08-17,「子育てはご機嫌なおじさんを地球に納品する壮大なプロジェクト」というエッセイが話題になり男児を育てる母親たちにぶっ刺さっている,https://togetter.com/li/2733334,三浦 えり @eripope 子育て最高なnoteを読んでしまった。私はどんなプロジェクトなんだろう🤔 もはや「子育て」は、ご機嫌なおじさんを地球に納品する18年がかりの壮大なプロジェクトである。｜永田 尚子 note.com/naoko1,未確認
2026-08-17,もはや「子育て」は、ご機嫌なおじさんを地球に納品する18年がかりの壮大なプロジェクトである。｜永田 尚子,https://note.com/naoko1023/n/nf33f01b68eef,我が家には小6、小4、4歳の息子がいる。 「男の子が3人！？大変でしょう！」 何度となく言っていただけた、そのセリフ。 離乳食やら、保活やらを経て思うこと。 3人それぞれ自分でトイレに行き、ご飯を食べ、 お風呂に入り、着替えられるようになっ,未確認
2026-08-24,皮膚科で、韓国で整形した患者から抜糸と痛み止めが欲しいという予約の電話が来て、先生が「途中から面倒見れないから断って」と言い放っていた→美容整形の問題点が露呈に,https://togetter.com/li/2736623,九条 葵 モノノ怪観た @Aniloveaoiiii 通ってる皮膚科の先生はすごく腰が低い人なんだけど、私の治療中に看護師さんから「韓国で整形した患者が抜糸と痛み止めが欲しいって予約の電話が来てて…」って相談してら「なんでうちに来るかなぁ…,未確認
2026-08-24,うつ病、発達障害、自己破産…「マジで死ぬかもと思った」20代女性を再生させた「全員VTuber」の職場 | 集英社オンライン,https://shueisha.online/articles/-/258444,当サイトでは当社の提携先等がお客様のニーズ等について調査・分析したり、お客様にお勧めの広告を表示する目的で Cookie を使用する場合があります。 詳しくはこちら,未確認
2026-08-24,自己肯定感は、上げなくていい｜松浦勝人,https://note.com/maxmatsuura/n/n5184b760199e,自己評価についての、僕の経験と結論 精神科の先生に、こう言われたことがある。 「なんで、そんなに自己評価が低いんですか。松浦さんは世の中で名前が通っていて、成功した人ですよ。もう少し自分のことを評価してあげてください」 僕がうつ病で苦しんで,未確認
2026-08-24,ブクブクに太った山田さん…失敗したと繰り返す母親…救われなかった二人の「みいちゃん」を描いた『みいちゃんと山田さん』最終回はものすごく刺さる一方、消化不良さを感じる人も,https://togetter.com/li/2736443,みいちゃんと山田さん【公式】🐹 @miichan_joho ||◤ ◥|| 『みいちゃんと山田さん』 最終話 更新 ||◣ ◢|| 第37話「山田さんとみいちゃん」 2年間、この物語とともに歩んでくださった読者の皆様。 その身を削り、心を剥,未確認
2026-08-24,結婚相談所では「ちいかわにイライラする人はモラハラ気質があるから」とちいかわを一緒に観ることを推奨されてるらしい？「モモンガにイラついてたら子育てはできない」,https://togetter.com/li/2736127,SASAKAWA Chika🇮🇹 @Jackilion ちいかわにイライラする奴はモラハラ気質があるから、結婚相談所では、結婚に進む前にちいかわを一緒に観ることが推奨されているってのを知って、なるほどなーと思った。 2026-08-21 0,未確認
2026-08-31,同志社国際高「今年度の沖縄研修旅行を中止」「引率教員ら配置換え」…辺野古転覆受け保護者に説明,https://www.yomiuri.co.jp/national/20260831-GYT1T00006/,【読売新聞】 沖縄県名護市辺野古沖で３月、研修旅行中だった同志社国際高（京都府京田辺市）の女子生徒ら２人が死亡した小型船転覆事故を巡り、同高は３０日夜、校長の交代に伴う保護者説明会を開き、西田喜久夫校長の解任や、今年度の沖縄での研修,未確認
2026-08-31,町山智浩さんがゆたぼんを攻撃「親の犠牲者」「学校に行ってないお父さんが教えたんじゃ反知性の連鎖」,https://posfie.com/@Elif87995911/p/GsL8E8I,冒険家ゆたぼん(17)@覚醒モード @yutabon_youtube 日本に来て、日本のルールを守れない外国人とは共生できません。問題はそれだけではありません。日本に来て、ちゃんと日本のルールを守って、日本の文化を尊重してくれている外国人に,未確認
2026-08-31,紛糾４時間の保護者説明会…質疑応答なしの動きに「向き合う姿勢感じず」　同志社国際高,https://www.sankei.com/article/20260831-YYK4K3G5XJPIDOW3K6TXICFTBM/,沖縄県名護市辺野古沖で船2隻が転覆し、同志社国際高校（京都府京田辺市）2年の武石知華（ともか）さん（17）ら2人が死亡した事故を巡り、同校は30日、市内の関連施設で保護者説明会を開いた。2学期以降の学校運営や校外学習における事故の再発防止策,未確認
2026-08-31,同志社国際高校、今年度の沖縄研修旅行を中止　保護者説明会で説明：朝日新聞,https://www.asahi.com/articles/ASV8Z4V5DV8ZOXIE01BM.html,沖縄県名護市辺野古沖で小型船が転覆し、研修旅行の平和学習中だった同志社国際高校（京都府）の女子生徒と船長が死亡した事故で、同校は30日夜、保護者説明会を開いた。出席者によると、31日付での解任が決ま…,未確認
2026-08-31,「沖縄研修旅行」の意義を強調…同志社国際高の西田校長、保護者説明会では冒頭で退席,https://www.sankei.com/article/20260830-T2HRA6O3M5PE3HPCAFVQV7XO4U/,沖縄県名護市辺野古沖で船2隻が転覆し、同志社国際高校（京都府京田辺市）2年の武石知華（ともか）さん（17）ら2人が死亡した事故を巡り、8月31日付で解任される同校の西田喜久夫校長。関係者によると、30日に同市内で開かれた同校の3回目の保護者,未確認
2026-08-31,「焚書活動」勧める朝日新聞と毎日新聞　リベラル名乗るメディアほど言論の自由を認めない　メディアウオッチ　皆川豪志,https://www.sankei.com/article/20260830-4NLFLUQ3QRD55BIAASRVXUHFLM/,朝日新聞東京本社（桐原正道撮影）8月8日付朝日新聞の読書欄に恐ろしい記事が載っていた。「著者に会いたい」というコーナーに取り上げられた『差別のない本屋に通いたい。 本好き教師の冒険の記録』という本で、著者は小学校教諭の仲川啓介氏という方であ,未確認
2026-08-31,9年前に奨学金の延滞でブラックリストに入ってしまい、クレカもローンも何一つ通らない…様々な事情が重なって引き落としできなかった→これから借りる人は注意してほしい,https://togetter.com/li/2739124,きびと月の畑 @kibi_tsuki じつは僕、奨学金2ヶ月延滞でブラックリストに入ってます。 クレカもローンも何一つ通りません。 支払いを怠ったわけではなく、9年前に転職、引越し、キャリア変更が重なって引き落としが出来てませんでした。 月,未確認
2026-08-31,また、三月先生に8855円を払った｜とっきー,https://note.com/556tan/n/n9a985901e62b,皆様お久しぶりです 2カ月前に三月先生のcandfans(パトロンサイト)に 7700円を払ったのですが、実はあの後色々考えて解約しました Dアニメで「ひなこのーと」本編を見たからです 田舎から出てきて一生懸命頑張るカカシみたいなひな子ちゃ,未確認
